Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,以下哪個英文詞語的意思是「尊重他人」？,respect others,care for others,solve problems,improve English,10,1
2,以下哪個英文詞語的意思是「關心他人」？,care for others,respect others,make choices,teamwork,10,1
3,以下哪個英文詞語的意思是「解決問題」？,solve problems,improve skills,know right from wrong,make choices,10,1
4,以下哪個英文詞語的意思是「分辨是非」？,know right from wrong,improve English,support classmates,encourage others,10,1
5,以下哪個英文詞語的意思是「享受團隊合作」？,enjoy teamwork,improve basketball,make own choices,respect others,10,1
6,以下哪個英文詞語的意思是「自信的」？,confident,diligent,generous,humble,10,1
7,以下哪個英文詞語的意思是「勤奮的」？,diligent,confident,loyal,responsible,10,1
8,以下哪個英文詞語的意思是「慷慨的」？,generous,humble,punctual,obedient,10,1
9,以下哪個英文詞語的意思是「謙虛的」？,humble,loyal,responsible,confident,10,1
10,以下哪個英文詞語的意思是「忠誠的」？,loyal,generous,punctual,diligent,10,1
11,以下哪個英文詞語的意思是「負責任的」？,responsible,obedient,confident,humble,10,1
12,以下哪個英文詞語的意思是「守時的」？,punctual,loyal,diligent,generous,10,1
13,以下哪個英文詞語的意思是「聽話的」？,obedient,responsible,confident,humble,10,1
14,以下哪個英文詞語的意思是「改善英文」？,improve my English,improve basketball skills,make own choices,solve problems,10,1
15,以下哪個英文詞語的意思是「做出自己的選擇」？,make my own choices,know right from wrong,support classmates,care for others,10,1
16,以下哪個英文詞語的意思是「鼓勵同學」？,encourage classmates,respect others,solve problems,improve skills,10,1
17,以下哪個英文詞語的意思是「團隊精神」？,teamwork,individual work,competition,conflict,10,1
18,以下哪個英文詞語的意思是「自豪的」？,proud,cheerful,serious,greedy,10,1
19,以下哪個英文詞語的意思是「誠實的」？,honest,helpful,rude,polite,10,1
20,以下哪個英文詞語的意思是「有耐心的」？,patient,creative,calm,attentive,10,1
